Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Hayes, S; Charlton, J; Fletcher, D; Richmond, P",,,,"Hayes, Sam; Charlton, John; Fletcher, David; Richmond, Paul",,,Validation of Agent-Based Passenger Movement Modeling for Railway Stations Subject to Social Distancing During the COVID-19 Pandemic,TRANSPORTATION RESEARCH RECORD,,,,,,,,,,,,,,,,,"Hayes, Sam/KEJ-6197-2024","Fletcher, David/0000-0002-1562-4655; Hayes, Sam/0000-0002-2831-5413; Charlton, John/0000-0001-8402-6723",,,,,,,,,,,,,0361-1981,2169-4052,,,,2022 JUN 1,2022,,,,,,,,,3.61E+15,10.1177/03611981221093634,http://dx.doi.org/10.1177/03611981221093634,,Jun-22,,,,,,,,,,,WOS:000806395400001,View Full Record in Web of Science
J,"Grassini, L; Dugheri, G",,,,"Grassini, Laura; Dugheri, Gianni",,,Mobile phone data and tourism statistics: a broken promise?,NATIONAL ACCOUNTING REVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689-3010,,,,,2021,3,1,,,,,50,68,,10.3934/NAR.2021002,http://dx.doi.org/10.3934/NAR.2021002,,,,,,,,,,,,,WOS:000906498200002,View Full Record in Web of Science
J,"Nazemi, M; van Eggermond, MAB; Erath, A; Schaffner, D; Joos, M; Axhausen, KW",,,,"Nazemi, M.; van Eggermond, M. A. B.; Erath, A.; Schaffner, D.; Joos, M.; Axhausen, Kay W.",,,Studying bicyclists' perceived level of safety using a bicycle simulator combined with immersive virtual reality,ACCIDENT ANALYSIS AND PREVENTION,,,,,,,,,,,,,,,,,"Nazemi, Mohsen/KBF-7487-2024; Nazemi, Mohsen/AAY-7754-2020","Axhausen, Kay/0000-0003-3331-1318; Erath, Alexander/0000-0002-3494-6617; van Eggermond, Michael/0000-0002-0329-7853",,,,,,,,,,,,,0001-4575,1879-2057,,,,MAR,2021,151,,,,,,,,105943,10.1016/j.aap.2020.105943,http://dx.doi.org/10.1016/j.aap.2020.105943,,,,,,,,33370601,,,,,WOS:000618530800001,View Full Record in Web of Science
J,"Rhew, IC; Hurvitz, PM; Lyles-Riebli, R; Lee, CM",,,,"Rhew, Isaac C.; Hurvitz, Philip M.; Lyles-Riebli, Rose; Lee, Christine M.",,,Geographic ecological momentary assessment methods to examine spatio-temporal exposures associated with marijuana use among young adults: A pilot study,SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877-5845,1877-5853,,,,JUN,2022,41,,,,,,,,100479,10.1016/j.sste.2022.100479,http://dx.doi.org/10.1016/j.sste.2022.100479,,Jan-22,,,,,,35691646,,,,,WOS:000820829800002,View Full Record in Web of Science
J,"Li, XF; Xu, JL; Dong, YP; Gao, SJ; Han, S",,,,"Li, Xufeng; Xu, Jinliang; Dong, Yaping; Gao, Sunjian; Han, Shuo",,,Analysis of Toilet Scale of Freeway Service Areas Based on Crowd Gatherings,SCIENTIFIC PROGRAMMING,,,,,,,,,,,,,,,,,,"Xu, Jinliang/0000-0002-5229-9468",,,,,,,,,,,,,1058-9244,1875-919X,,,,Apr-06,2022,2022,,,,,,,,2800025,10.1155/2022/2800025,http://dx.doi.org/10.1155/2022/2800025,,,,,,,,,,,,,WOS:000807290300002,View Full Record in Web of Science
J,"Schuetz, E; Flohr, FB",,,,"Schuetz, Erik; Flohr, Fabian B.",,,A Review of Trajectory Prediction Methods for the Vulnerable Road User,ROBOTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218-6581,,,,JAN,2024,13,1,,,,,,,1,10.3390/robotics13010001,http://dx.doi.org/10.3390/robotics13010001,,,,,,,,,,,,,WOS:001150847100001,View Full Record in Web of Science
J,"Cristaldi, MA; Godoy, IN; Leveau, LM",,,,"Cristaldi, Maximiliano A.; Godoy, Ianina N.; Leveau, Lucas M.",,,Responses of Urban Bird Assemblages to Land-Sparing and Land-Sharing Development Styles in Two Argentinian Cities,ANIMALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076-2615,,,,,MAR,2023,13,5,,,,,,,894,10.3390/ani13050894,http://dx.doi.org/10.3390/ani13050894,,,,,,,,36899750,,,,,WOS:000946876600001,View Full Record in Web of Science
J,"Pan, RY; Jie, LH; Zhang, XY; Pang, SL; Wang, HG; Wei, ZY",,,,"Pan, Ruoyu; Jie, Lihua; Zhang, Xinyue; Pang, Shengli; Wang, Honggang; Wei, Zhaoying",,,A V2P Collision Risk Warning Method based on LSTM in IOV,SECURITY AND COMMUNICATION NETWORKS,,,,,,,,,,,,,,,,,"Pang, Shengli/K-6801-2015","pang, shengli/0000-0001-8083-6200; Ruoyu, Pan/0000-0002-1494-8922; Lihua, Jie/0000-0002-4355-3815",,,,,,,,,,,,,1939-0114,1939-0122,,,,Jul-31,2022,2022,,,,,,,,7507573,10.1155/2022/7507573,http://dx.doi.org/10.1155/2022/7507573,,,,,,,,,,,,,WOS:000852893800004,View Full Record in Web of Science
C,"Jesi, GP; Gori, E; Zucchelli, A; Spazzoli, N; Mazzini, G",,"Paul, R",,"Jesi, Gian Paolo; Gori, Elisabetta; Zucchelli, Andrea; Spazzoli, Nicola; Mazzini, Gianluca",,,Monitoring People Moving during Covid-19 Pandemic in the Emilia-Romagna Region,2021 IEEE 11TH ANNUAL COMPUTING AND COMMUNICATION WORKSHOP AND CONFERENCE (CCWC),,,,,IEEE 11th Annual Computing and Communication Workshop and Conference (CCWC),"JAN 27-30, 2021",ELECTR NETWORK,"IEEE,SMART,IEEE Reg 6,IEEE Reg 1,IEEE USA,Inst Engn & Management,Univ Engn & Management",,,,,,,,,,,,,,,,,,,,,,,,,978-1-6654-1490-6,,,,2021,,,,,,,158,164,1570696316,10.1109/CCWC51732.2021.9376065,http://dx.doi.org/10.1109/CCWC51732.2021.9376065,,,,,,,,,,,,,WOS:000668575500025,View Full Record in Web of Science
J,"Abbood, AN; Fadel, LS",,,,"Abbood, Abdulkareem Naji; Fadel, Lamyaa Shaker",,,Study of Basic Traffic Elements for Pedestrians Movement and their Impacted on Level of Service Efficiency in Urban Area,JOURNAL OF ECOLOGICAL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299-8993,,,,,,2023,24,8,,,,,322,328,,10.12911/22998993/166453,http://dx.doi.org/10.12911/22998993/166453,,,,,,,,,,,,,WOS:001041997600015,View Full Record in Web of Science
J,"Golakiya, HD; Dhamaniya, A",,,,"Golakiya, Hareshkumar Dahyabhai; Dhamaniya, Ashish",,,Reexamining Pedestrian Crossing Warrants based on Vehicular Delay at Urban Arterial Midblock Sections under Mixed Traffic Conditions,JOURNAL OF TRANSPORTATION ENGINEERING PART A-SYSTEMS,,,,,,,,,,,,,,,,,,"Dhamaniya, Ashish/0000-0003-3430-9949",,,,,,,,,,,,,2473-2907,2473-2893,,,,Aug-01,2021,147,8,,,,,,,5021002,10.1061/JTEPBS.0000538,http://dx.doi.org/10.1061/JTEPBS.0000538,,,,,,,,,,,,,WOS:000751665700003,View Full Record in Web of Science
J,"Park, K; Singleton, PA; Brewer, S; Zuban, J",,,,"Park, Keunhyun; Singleton, Patrick A.; Brewer, Simon; Zuban, Jessica",,,"Pedestrians and the Built Environment during the COVID-19 Pandemic: Changing Relationships by the Pandemic Phases in Salt Lake County, Utah, USA",TRANSPORTATION RESEARCH RECORD,,,,,,,,,,,,,,,,,,"Singleton, Patrick/0000-0002-9319-2333; Brewer, Simon/0000-0002-6810-1911",,,,,,,,,,,,,0361-1981,2169-4052,,,,APR,2023,2677,4,,,,,448,462,3.61E+15,10.1177/03611981221083606,http://dx.doi.org/10.1177/03611981221083606,,May-22,,,,,,37153183,,,,,WOS:000798725800001,View Full Record in Web of Science
J,"Filomena, G; Verstegen, JA",,,,"Filomena, Gabriele; Verstegen, Judith A.",,,Modelling the effect of landmarks on pedestrian dynamics in urban environments,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,,,,,,,,,,,,,,,,,"Filomena, Gabriele/ABF-8146-2020; Verstegen, Judith Anne/M-5525-2013","Filomena, Gabriele/0000-0001-6380-7264; Verstegen, Judith Anne/0000-0002-9082-4323",,,,,,,,,,,,,0198-9715,1873-7587,,,,MAR,2021,86,,,,,,,,101573,10.1016/j.compenvurbsys.2020.101573,http://dx.doi.org/10.1016/j.compenvurbsys.2020.101573,,Jan-21,,,,,,,,,,,WOS:000640614100005,View Full Record in Web of Science
J,"Tadeu, A; Romero, A; Dias, S; Pedro, F; Brett, M; Serra, M; Galvín, P; Bandeira, F",,,,"Tadeu, Antonio; Romero, Antonio; Dias, Sara; Pedro, Filipe; Brett, Michael; Serra, Miguel; Galvin, Pedro; Bandeira, Filipe",,,Vibration serviceability assessment of the world?s longest suspended footbridge in 2020,STRUCTURES,,,,,,,,,,,,,,,,,"tadeu, antonio/G-6358-2019; Dias, Sara/JAC-9926-2023; Galvín, Pedro/E-6293-2010","tadeu, antonio/0000-0003-2535-8458; Brett, Michael/0000-0002-6332-1755; Santos Soares Dias, Sara Maria/0000-0001-7698-346X",,,,,,,,,,,,,2352-0124,,,,,OCT,2022,44,,,,,,457,475,,10.1016/j.istruc.2022.08.015,http://dx.doi.org/10.1016/j.istruc.2022.08.015,,Aug-22,,,,,,,,,,,WOS:000848550200001,View Full Record in Web of Science
