Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Yoon J.; Oh J.; Kim S.,"Yoon, Jeonghyeon (57897878900); Oh, Jisoo (58220660100); Kim, Seungku (35189159200)",57897878900; 58220660100; 35189159200,Transfer Learning Approach for Indoor Localization with Small Datasets,2023.0,Remote Sensing,15,8,2122,,,,1.0,10.3390/rs15082122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156178614&doi=10.3390%2frs15082122&partnerID=40&md5=ff41d99930e69f7fb4d6b9ac6d0a1118,Article,Scopus,2-s2.0-85156178614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biswas S.; Roychowdhury K.,"Biswas, Sushmita (57787565000); Roychowdhury, Koel (35099593800)",57787565000; 35099593800,"Influence of heavy vehicle operation on walkability from pedestrians’ perspective in Krishnanagar Municipality, India",2022.0,Case Studies on Transport Policy,10,4,,2530,2545,15.0,1.0,10.1016/j.cstp.2022.11.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142696206&doi=10.1016%2fj.cstp.2022.11.010&partnerID=40&md5=196df0438f14ab986b0998ab700c7b17,Article,Scopus,2-s2.0-85142696206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongylis L.; Petraki V.; Yannis G.,"Strongylis, Loukas (58834086400); Petraki, Virginia (57217526107); Yannis, George (6602480626)",58834086400; 57217526107; 6602480626,Critical impact factors of pedestrians traffic combining multiple data sources in Athens,2023.0,Transportation Research Procedia,72,,,3332,3339,7.0,0.0,10.1016/j.trpro.2023.11.793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182952631&doi=10.1016%2fj.trpro.2023.11.793&partnerID=40&md5=90fbc909acfc5dd0e3ab1ff6ee6f2a25,Conference paper,Scopus,2-s2.0-85182952631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thant Z.M.; Leimgruber P.; Williams A.C.; Oo Z.M.; Røskaft E.; May R.,"Thant, Zaw Min (15023377800); Leimgruber, Peter (6602857053); Williams, Amirtharaj Christy (7405837152); Oo, Zaw Min (36447888700); Røskaft, Eivin (7003630918); May, Roel (14830541000)",15023377800; 6602857053; 7405837152; 36447888700; 7003630918; 14830541000,Factors influencing the habitat suitability of wild Asian elephants and their implications for human–elephant conflict in Myanmar,2023.0,Global Ecology and Conservation,43,,e02468,,,,5.0,10.1016/j.gecco.2023.e02468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152294237&doi=10.1016%2fj.gecco.2023.e02468&partnerID=40&md5=ed81a2bd1499e277c511da28ede6c032,Article,Scopus,2-s2.0-85152294237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janczak D.; Walendziuk W.; Sadowski M.; Zankiewicz A.; Konopko K.; Idzkowski A.,"Janczak, Dariusz (6701507181); Walendziuk, Wojciech (15077586300); Sadowski, Maciej (14067856700); Zankiewicz, Andrzej (6504276414); Konopko, Krzysztof (6506179175); Idzkowski, Adam (8862767300)",6701507181; 15077586300; 14067856700; 6504276414; 6506179175; 8862767300,Accuracy Analysis of the Indoor Location System Based on Bluetooth Low-Energy RSSI Measurements,2022.0,Energies,15,23,8832,,,,9.0,10.3390/en15238832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143810240&doi=10.3390%2fen15238832&partnerID=40&md5=c6f8d8751f7af789af66cebbf24c3378,Article,Scopus,2-s2.0-85143810240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calafiore A.; Samardzhiev K.; Rowe F.; Fleischmann M.; Arribas-Bel D.,"Calafiore, Alessia (57188815128); Samardzhiev, Krasen (57219459499); Rowe, Francisco (55755606300); Fleischmann, Martin (57211904327); Arribas-Bel, Daniel (36631516500)",57188815128; 57219459499; 55755606300; 57211904327; 36631516500,Inequalities in experiencing urban functions. An exploration of human digital (geo-)footprints,2023.0,Environment and Planning B: Urban Analytics and City Science,,,,,,,1.0,10.1177/23998083231208507,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176221102&doi=10.1177%2f23998083231208507&partnerID=40&md5=205891ca483f21cd00ff107801363368,Article,Scopus,2-s2.0-85176221102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goto I.; Ueda K.; Matsuda Y.; Suwa H.; Yasumoto K.,"Goto, Ippei (59072935900); Ueda, Kentaro (57605411600); Matsuda, Yuki (57056904200); Suwa, Hirohiko (56963660100); Yasumoto, Keiichi (7203026208)",59072935900; 57605411600; 57056904200; 56963660100; 7203026208,BLESS: BLE based Street Sensing for People Counting and Flow Direction Estimation,2024.0,"2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events, PerCom Workshops 2024",,,,76,81,5.0,0.0,10.1109/PerComWorkshops59983.2024.10503219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192441055&doi=10.1109%2fPerComWorkshops59983.2024.10503219&partnerID=40&md5=bf08eeefca075caa33b96abb943320aa,Conference paper,Scopus,2-s2.0-85192441055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratama R.A.; Arijuddin B.I.; Ariseno I.A.,"Pratama, R.A. (58680105300); Arijuddin, B.I. (57207849223); Ariseno, I.A. (58968397500)",58680105300; 57207849223; 58968397500,"Spatial analysis of labor in the brass crafts industry for study non-natural disaster mitigation in Cepogo District, Boyolali",2024.0,IOP Conference Series: Earth and Environmental Science,1314,1,012078,,,,0.0,10.1088/1755-1315/1314/1/012078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189294899&doi=10.1088%2f1755-1315%2f1314%2f1%2f012078&partnerID=40&md5=cca7d7d30e62d91b36e06606bc358871,Conference paper,Scopus,2-s2.0-85189294899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memon S.; Memon M.A.; Abassi F.; Memon F.A.; Memon M.H.; Nizamani M.A.,"Memon, Sajjad (57202837249); Memon, Muhammad Ali (55607660200); Abassi, Faheem (58134598300); Memon, Fayaz Ahmed (57226437856); Memon, Majid Hussain (57223893695); Nizamani, Muhammad Ali (57224528804)",57202837249; 55607660200; 58134598300; 57226437856; 57223893695; 57224528804,Real-time indoor positioning and route guidance system by using beacons,2023.0,International Journal of Intelligent Engineering Informatics,11,2,,97,121,24.0,0.0,10.1504/IJIEI.2023.132698,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177225253&doi=10.1504%2fIJIEI.2023.132698&partnerID=40&md5=8deb0b3416a52d2ca1a0afc1b99f8411,Article,Scopus,2-s2.0-85177225253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nachappa M.N.; Sharma A.,"Nachappa, M.N. (57226716208); Sharma, Anu (58264026700)",57226716208; 58264026700,Enhancing Pedestrian Traffic Analysis with Fuzzy Clustering and WEKA Data Mining Techniques,2023.0,"2023 International Conference on Communication, Security and Artificial Intelligence, ICCSAI 2023",,,,215,218,3.0,0.0,10.1109/ICCSAI59793.2023.10421072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186691175&doi=10.1109%2fICCSAI59793.2023.10421072&partnerID=40&md5=2672dde0fe7b9a9aa39f583e0968624c,Conference paper,Scopus,2-s2.0-85186691175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuchu J.,"Kuchu, Jayasree (14031440500)",14031440500,Development of Composite Pedestrian Level of Service Model in Urban Milieu at Midblock Sections,2024.0,Periodica Polytechnica Transportation Engineering,52,1,,40,51,11.0,0.0,10.3311/PPTR.20798,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181159944&doi=10.3311%2fPPTR.20798&partnerID=40&md5=605b0e04ae3cdd39145e59e372d48f16,Article,Scopus,2-s2.0-85181159944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lin D.; Zhu Z.; Feng J.; He J.,"Lin, Dong (57219283206); Zhu, Zhuangzhuang (57401937300); Feng, Jijun (24477151100); He, Jinping (55826028100)",57219283206; 57401937300; 24477151100; 55826028100,Multi-objects Spectroscopy with Compact Arranged Optical Waveguides; [密 排 光 波 导 多 目 标 光 谱 探 测 技 术 研 究],2023.0,Guangzi Xuebao/Acta Photonica Sinica,52,5,0552212,,,,1.0,10.3788/gzxb20235205.0552212,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163832858&doi=10.3788%2fgzxb20235205.0552212&partnerID=40&md5=2c451959ae3043d02116b6254ac07089,Article,Scopus,2-s2.0-85163832858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk B.; Ha M.; Lee S.,"Kirk, Boyun (58091566600); Ha, Mikyoung (55233495000); Lee, Soyeon (57219188650)",58091566600; 55233495000; 57219188650,The relationship between children’s fear of crime and pedestrian volume in school zones,2023.0,Journal of Asian Architecture and Building Engineering,22,6,,3665,3679,14.0,1.0,10.1080/13467581.2023.2172346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147416076&doi=10.1080%2f13467581.2023.2172346&partnerID=40&md5=b5c876fd95d09b4675857043252bf782,Article,Scopus,2-s2.0-85147416076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Cohen A.; Dalyot S.; Plaut P.,"Angel, Avital (57804579000); Cohen, Achituv (57217851830); Dalyot, Sagi (25822009300); Plaut, Pnina (59157749300)",57804579000; 57217851830; 25822009300; 59157749300,Estimating pedestrian traffic with Bluetooth sensor technology,2023.0,Geo-Spatial Information Science,,,,,,,3.0,10.1080/10095020.2023.2247446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169781647&doi=10.1080%2f10095020.2023.2247446&partnerID=40&md5=2dc654d1976764d3497616ef9d6e5a3b,Article,Scopus,2-s2.0-85169781647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramadhan S.; Prahara E.; Susila I.G.M.,"Ramadhan, S. (58261835200); Prahara, E. (56180799300); Susila, I.G.M. (57554119700)",58261835200; 56180799300; 57554119700,Evaluation and optimization of vehicle parking area at citra tower kemayoran Jakarta,2023.0,AIP Conference Proceedings,2594,,020005,,,,0.0,10.1063/5.0109908,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159642233&doi=10.1063%2f5.0109908&partnerID=40&md5=e40adc47da1fb4ed593d3f16c1308c84,Conference paper,Scopus,2-s2.0-85159642233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiao S.-J.; Wu L.-C.; Han N.; Huang F.-L.; Mao R.; Yuan C.-A.; Gutierrez L.A.,"Qiao, Shao-Jie (16205409900); Wu, Ling-Chun (58043213300); Han, Nan (56300116600); Huang, Fa-Liang (8362890800); Mao, Rui (14025745400); Yuan, Chang-An (7402268507); Gutierrez, Louis Alberto (56376289400)",16205409900; 58043213300; 56300116600; 8362890800; 14025745400; 7402268507; 56376289400,Multiple-motion-pattern Trajectory Prediction of Moving Objects with Context Awareness: A Survey; [情景感知驱动的移动对象多模式轨迹预测技术综述],2023.0,Ruan Jian Xue Bao/Journal of Software,34,1,,312,333,21.0,2.0,10.13328/j.cnki.jos.006395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145662757&doi=10.13328%2fj.cnki.jos.006395&partnerID=40&md5=6a9069aef35ec7450ca4b3494fe4e700,Article,Scopus,2-s2.0-85145662757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul D.; Moridpour S.; Nguyen L.A.,"Paul, Deborah (58102929500); Moridpour, Sara (26639546700); Nguyen, Le Andrew (58102668400)",58102929500; 26639546700; 58102668400,Evaluating the Impact of COVID-19 on the Behaviour of Pedestrians,2023.0,Sustainability (Switzerland),15,3,1874,,,,1.0,10.3390/su15031874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148046708&doi=10.3390%2fsu15031874&partnerID=40&md5=2ef8698b22cd5641f9156550a7cb2318,Article,Scopus,2-s2.0-85148046708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golchoubian M.; Ghafurian M.; Dautenhahn K.; Azad N.L.,"Golchoubian, Mahsa (57223437858); Ghafurian, Moojan (57190254083); Dautenhahn, Kerstin (7003305185); Azad, Nasser Lashgarian (15847774500)",57223437858; 57190254083; 7003305185; 15847774500,Pedestrian Trajectory Prediction in Pedestrian-Vehicle Mixed Environments: A Systematic Review,2023.0,IEEE Transactions on Intelligent Transportation Systems,24,11,,11544,11567,23.0,11.0,10.1109/TITS.2023.3291196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164821963&doi=10.1109%2fTITS.2023.3291196&partnerID=40&md5=8d9c18e1bf5b2f9b3d9f972263f4a060,Article,Scopus,2-s2.0-85164821963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saeipour P.; Sarbakhsh P.; Salemi S.; Aghdam F.B.,"Saeipour, Parisa (57211491610); Sarbakhsh, Parvin (27968099600); Salemi, Saman (58512468000); Aghdam, Fatemeh Bakhtari (57754232400)",57211491610; 27968099600; 58512468000; 57754232400,A Fuzzy Clustering Approach to Identify Pedestrians’ Traffic Behavior Patterns,2023.0,Journal of Research in Health Sciences,23,3,e00592,,,,0.0,10.34172/JRHS.2023.127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175365184&doi=10.34172%2fJRHS.2023.127&partnerID=40&md5=32a0f215015aabcc3bb58d224d73e0a6,Article,Scopus,2-s2.0-85175365184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vogel E.F.; Skalmerud S.; Biuw M.; Blanchet M.-A.; Kleivane L.; Skaret G.; Øien N.; Rikardsen A.,"Vogel, Emma F. (57223192472); Skalmerud, Stine (58569262100); Biuw, Martin (23476768500); Blanchet, Marie-Anne (55626540800); Kleivane, Lars (6602665313); Skaret, Georg (6507055136); Øien, Nils (7004684049); Rikardsen, Audun (6602598950)",57223192472; 58569262100; 23476768500; 55626540800; 6602665313; 6507055136; 7004684049; 6602598950,Foraging movements of humpback whales relate to the lateral and vertical distribution of capelin in the Barents Sea,2023.0,Frontiers in Marine Science,10,,1254761,,,,1.0,10.3389/fmars.2023.1254761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170395059&doi=10.3389%2ffmars.2023.1254761&partnerID=40&md5=c7dcaca49933f49da2a4bc627fd5bef9,Article,Scopus,2-s2.0-85170395059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White K.S.; Hood E.; Wolken G.J.; Peitzsch E.H.; Bühler Y.; Wikstrom Jones K.; Darimont C.T.,"White, Kevin S. (7402810121); Hood, Eran (57205866217); Wolken, Gabriel J. (12141117700); Peitzsch, Erich H. (55022854300); Bühler, Yves (25631575600); Wikstrom Jones, Katreen (57209736274); Darimont, Chris T. (36832400400)",7402810121; 57205866217; 12141117700; 55022854300; 25631575600; 57209736274; 36832400400,Snow avalanches are a primary climate-linked driver of mountain ungulate populations,2024.0,Communications Biology,7,1,423,,,,0.0,10.1038/s42003-024-06073-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191886170&doi=10.1038%2fs42003-024-06073-0&partnerID=40&md5=f6bd75223a01284f0e8f8d06e4a18a74,Article,Scopus,2-s2.0-85191886170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park K.; Singleton P.A.; Brewer S.; Zuban J.,"Park, Keunhyun (57192591230); Singleton, Patrick A. (57215476386); Brewer, Simon (8144850900); Zuban, Jessica (57190690798)",57192591230; 57215476386; 8144850900; 57190690798,"Pedestrians and the Built Environment during the COVID-19 Pandemic: Changing Relationships by the Pandemic Phases in Salt Lake County, Utah, U.S.A.",2023.0,Transportation Research Record,2677,4,,448,462,14.0,6.0,10.1177/03611981221083606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150279385&doi=10.1177%2f03611981221083606&partnerID=40&md5=39754ef311042918de5b5fe12f5a6e3f,Book chapter,Scopus,2-s2.0-85150279385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmar M.; Kelly P.; Berry D.,"Parmar, Mayank (57968178600); Kelly, Paula (57194099900); Berry, Damon (7402256550)",57968178600; 57194099900; 7402256550,Indication of Pedestrian's Travel Direction Through Bluetooth Low Energy Signals Perceived by a Single Observer Device,2023.0,"Proceedings of 2023 IEEE International Smart Cities Conference, ISC2 2023",,,,,,,2.0,10.1109/ISC257844.2023.10293305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178366466&doi=10.1109%2fISC257844.2023.10293305&partnerID=40&md5=374df5f4400e1bef7725eb6ad45e030a,Conference paper,Scopus,2-s2.0-85178366466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ahbabi S.M.J.; Al-Alwan H.A.S.,"Al-Ahbabi, Suhaib M. J. (58553707200); Al-Alwan, Hoda A. S. (57207107387)",58553707200; 57207107387,"Enhancing Pedestrian Safety from Traffic Accidents at the Jadiriya Complex within the University of Baghdad, Iraq",2023.0,ISVS e-journal,10,7,,325,345,20.0,1.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169018284&partnerID=40&md5=0be8ac6946af9883a496f6434e2c2dbb,Article,Scopus,2-s2.0-85169018284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan R.; Jie L.; Wang H.; Jie P.; Zhang X.,"Pan, Ruoyu (55459218400); Jie, Lihua (57844787600); Wang, Honggang (56645037000); Jie, Peihua (58289452700); Zhang, Xinyue (57845045700)",55459218400; 57844787600; 56645037000; 58289452700; 57845045700,A V2P Warning System on the Basis of LoRa Wireless Network,2023.0,"Proceedings - 2023 5th International Conference on Natural Language Processing, ICNLP 2023",,,,373,378,5.0,0.0,10.1109/ICNLP58431.2023.00074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173046851&doi=10.1109%2fICNLP58431.2023.00074&partnerID=40&md5=9e3b14637fc047dc11e41dddb4e7b34c,Conference paper,Scopus,2-s2.0-85173046851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Jorge A.; Dos Santos Machado A.,"Albuquerque Jorge, Aline (58509865800); Dos Santos Machado, Angela (58204366100)",58509865800; 58204366100,Socio-Territorial Movements and the Combat Hunger During the New Coronavirus Pandemic in Brazil; [Os movimentos socioterritoriais e a luta contra a fome durante a pandemia do novo coronavírus no Brasil]; [Movimientos socioterritoriales y lucha contra el hambre durante la pandemia por el nuevo coronavirus en Brasil],2023.0,Cuadernos de Geografia: Revista Colombiana de Geografia,32,2,,438,455,17.0,0.0,10.15446/rcdg.v32n2.95846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166027582&doi=10.15446%2frcdg.v32n2.95846&partnerID=40&md5=30d4f55e91d5776efc2316d71b871b57,Article,Scopus,2-s2.0-85166027582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivakrishna A.; Kumar T.P.; Rao K.M.L.; Akhilesh C.,"Shivakrishna, Alety (58491472500); Kumar, Telluri Pavan (58629218100); Rao, Km Lakshman (57210511743); Akhilesh, Chepuri (58788898300)",58491472500; 58629218100; 57210511743; 58788898300,Assessment of Pedestrians Crossing Behaviour at Mid-Blocks under Mixed Traffic Conditions in Urban Contexts,2023.0,IOP Conference Series: Earth and Environmental Science,1280,1,012050,,,,0.0,10.1088/1755-1315/1280/1/012050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181152990&doi=10.1088%2f1755-1315%2f1280%2f1%2f012050&partnerID=40&md5=92a65e125029fcbaff891e227358fd21,Conference paper,Scopus,2-s2.0-85181152990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassanshahi G.; Soltani A.; Roosta M.; Askari S.,"Hassanshahi, Ghazal (58647700600); Soltani, Ali (46661309600); Roosta, Maryam (57222732135); Askari, Sajad (56553888900)",58647700600; 46661309600; 57222732135; 56553888900,Walking as soft mobility: A multi-criteria GIS-based approach for prioritizing tourist routes,2023.0,Frontiers of Architectural Research,12,6,,1080,1096,16.0,1.0,10.1016/j.foar.2023.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174215637&doi=10.1016%2fj.foar.2023.09.001&partnerID=40&md5=838a3294c4c677ce6cb33a08cefa6c0c,Article,Scopus,2-s2.0-85174215637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giustiniani E.; Giménez L.; Semmartin M.,"Giustiniani, Emilia (58514170000); Giménez, Leonardo (58514626200); Semmartin, María (8041609000)",58514170000; 58514626200; 8041609000,Residents’ perception and environmental assessment of a waste recycling centre: a case study of Buenos Aires City (Argentina),2023.0,"Environment, Development and Sustainability",,,,,,,0.0,10.1007/s10668-023-03672-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166294304&doi=10.1007%2fs10668-023-03672-5&partnerID=40&md5=22229532d42cdf709e21519bf370759f,Article,Scopus,2-s2.0-85166294304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quijada-Alarcón J.; Rodríguez-Rodríguez R.; Icaza A.; González-Cancelas N.; Bethancourt-Lasso G.,"Quijada-Alarcón, Jorge (57022229600); Rodríguez-Rodríguez, Roberto (58540421400); Icaza, Analissa (57211352272); González-Cancelas, Nicoletta (55901657000); Bethancourt-Lasso, Gabriel (58540421500)",57022229600; 58540421400; 57211352272; 55901657000; 58540421500,Social perception of the connectivity and quality of sidewalks in the Metropolitan Area of Panama,2024.0,Journal of Maps,20,1,2349167,,,,0.0,10.1080/17445647.2024.2349167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192556774&doi=10.1080%2f17445647.2024.2349167&partnerID=40&md5=6b903fe576ead87dcad719f2c21a98b4,Article,Scopus,2-s2.0-85192556774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punchihewa C.S.; Bandara J.M.S.J.,"Punchihewa, C.S. (58654377400); Bandara, J.M.S.J. (57198301013)",58654377400; 57198301013,Improving Pedestrian Movements in Congested Urban Areas,2024.0,Lecture Notes in Civil Engineering,352,,,87,102,15.0,0.0,10.1007/978-981-99-2676-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174450237&doi=10.1007%2f978-981-99-2676-3_8&partnerID=40&md5=e97681b11ecfe8833634e3bcc0b89ca2,Conference paper,Scopus,2-s2.0-85174450237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campisi T.; Tesoriere G.; Skoufas A.; Zeglis D.; Andronis C.; Basbas S.,"Campisi, Tiziana (56866098200); Tesoriere, Giovanni (57201041875); Skoufas, Anastasios (57219605326); Zeglis, Dimitris (57219485147); Andronis, Charilaos (57219482487); Basbas, Socrates (6602806643)",56866098200; 57201041875; 57219605326; 57219485147; 57219482487; 6602806643,"Perceived Pedestrian Level of Service: The case of Thessaloniki, Greece",2022.0,Transportation Research Procedia,60,,,124,131,7.0,8.0,10.1016/j.trpro.2021.12.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123613421&doi=10.1016%2fj.trpro.2021.12.017&partnerID=40&md5=302770f252b21b796dc411143bbb9152,Conference paper,Scopus,2-s2.0-85123613421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebru K.; Rapelli M.; Rusca R.; Casetti C.; Chiasserini C.F.; Giaccone P.,"Gebru, Kalkidan (57210957413); Rapelli, Marco (57204726134); Rusca, Riccardo (57454944100); Casetti, Claudio (6701826324); Chiasserini, Carla Fabiana (7004886008); Giaccone, Paolo (55222154600)",57210957413; 57204726134; 57454944100; 6701826324; 7004886008; 55222154600,Edge-based passive crowd monitoring through WiFi Beacons,2022.0,Computer Communications,192,,,163,170,7.0,9.0,10.1016/j.comcom.2022.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132216416&doi=10.1016%2fj.comcom.2022.06.003&partnerID=40&md5=03d99737f85873cdf7c7b08498d3ffa4,Article,Scopus,2-s2.0-85132216416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
